Product ID : 2076 # of JPs covered : 1 : 96 : General Counsel, 
OID,Confidence at Map Node,Error at Map Node
us_000516483,1.000000, 0.000000
us_000493105,1.000000, 0.000000
us_000484728,1.000000, 0.000000
us_000461877,1.000000, 0.000000
us_000422883,1.000000, 0.000000
us_000534634,1.000000, 0.000001
us_000567435,1.000000, 0.000001
us_000517001,1.000000, 0.000001
pr_000596129,1.000000, 0.000003
us_000412490,1.000000, 0.000004
us_000542807,1.000000, 0.000005
us_000597459,1.000000, 0.000012
us_000614225,1.000000, 0.000025
us_000524884,1.000000, 0.000027
us_000582888,1.000000, 0.000034
us_000575572,1.000000, 0.000037
us_000573464,1.000000, 0.000049
us_000598281,1.000000, 0.000049
us_000461382,1.000000, 0.000050
us_000496833,1.000000, 0.000056
us_000471295,1.000000, 0.000057
us_000458669,1.000000, 0.000068
us_000323284,1.000000, 0.000071
us_000094927,1.000000, 0.000076
us_000530024,1.000000, 0.000076
us_000479907,1.000000, 0.000102
us_000559056,1.000000, 0.000103
us_000512400,1.000000, 0.000106
us_000330400,1.000000, 0.000222
us_000509825,1.000000, 0.000236
us_000579573,1.000000, 0.000253
us_000578944,1.000000, 0.000253
us_000598204,1.000000, 0.000330
us_000487855,1.000000, 0.000354
us_000460238,1.000000, 0.000365
us_000614224,1.000000, 0.000413
us_000614226,1.000000, 0.000413
us_000023900,1.000000, 0.000566
us_000599195,1.000000, 0.000700
us_000476321,1.000000, 0.000858
us_000465925,1.000000, 0.000887
us_000518588,1.000000, 0.000908
us_000490511,1.000000, 0.000916
us_000073872,1.000000, 0.000993
us_000616515,1.000000, 0.001013
us_000576769,1.000000, 0.001161
us_000564791,1.000000, 0.001368
us_000587212,1.000000, 0.001518
us_000474086,1.000000, 0.001532
us_000543110,1.000000, 0.001535
us_000480392,1.000000, 0.001573
us_000559082,1.000000, 0.001670
us_000515380,1.000000, 0.001730
us_000535483,1.000000, 0.001861
us_000572760,1.000000, 0.001947
us_000589456,1.000000, 0.002030
us_000561929,1.000000, 0.002208
us_000569308,1.000000, 0.002299
us_000478920,1.000000, 0.002647
us_000568462,1.000000, 0.002687
us_000500066,1.000000, 0.002717
us_000595069,1.000000, 0.002868
us_000493190,1.000000, 0.003266
us_000480694,1.000000, 0.003916
us_000474723,1.000000, 0.004002
us_000531978,1.000000, 0.004089
us_000545022,1.000000, 0.004102
us_000512149,1.000000, 0.004498
us_000583015,1.000000, 0.005355
us_000468087,1.000000, 0.006286
us_000587566,1.000000, 0.006928
us_000582585,1.000000, 0.007064
us_000467784,1.000000, 0.007360
us_000566720,1.000000, 0.007622
us_000565858,1.000000, 0.007667
us_000485473,1.000000, 0.007780
us_000536149,1.000000, 0.007941
us_000468750,1.000000, 0.008733
us_000514235,1.000000, 0.008863
us_000472062,1.000000, 0.008995
us_000521859,1.000000, 0.009662
us_000599712,1.000000, 0.009899
us_000479432,1.000000, 0.012028
us_000606606,1.000000, 0.013610
us_000198293,1.000000, 0.013847
