Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 217 | Personal Tax Law (jp:217,idx:44)
Class Probability,Ex Count at BMU,BMU Map Loc
0.06666667,1.0,(48|34)
0.06250000,3.0,(48|30)
0.05168539,23.0,(49|33)
0.03809524,4.0,(46|35)
0.03057554,17.0,(46|34)
0.02439024,1.0,(49|35)
0.01492537,2.0,(48|32)
0.009433962,1.0,(0|35)
0.007009346,3.0,(48|33)
0.006802721,1.0,(47|35)
0.004761905,1.0,(46|32)
0.003355705,1.0,(46|33)
0.002702703,1.0,(17|26)
0.002631579,1.0,(46|24)
0.002500000,1.0,(1|44)
