Product ID : 2123 JPs covered : 422 : Litigation-Jurisdiction, 
OID,Confidence at Map Node,Error at Map Node
us_000514835,1.000000, 0.000000
pr_001927805,1.000000, 0.000000
pr_000596624,1.000000, 0.000000
pr_001934012,1.000000, 0.000000
pr_001914926,1.000000, 0.000000
pr_001991440,1.000000, 0.000000
pr_001619004,1.000000, 0.000000
pr_001867054,1.000000, 0.000000
pr_001859703,1.000000, 0.000000
pr_001943879,1.000000, 0.000000
pr_002106815,1.000000, 0.000000
pr_002217880,1.000000, 0.000000
pr_001597697,1.000000, 0.000000
pr_001937365,1.000000, 0.000000
pr_000849785,1.000000, 0.000000
pr_001965027,1.000000, 0.000000
pr_002103162,1.000000, 0.000000
pr_001862342,1.000000, 0.000000
pr_001932162,1.000000, 0.000000
pr_002109538,1.000000, 0.000000
pr_002149452,1.000000, 0.000000
pr_001619077,1.000000, 0.000000
pr_001918450,1.000000, 0.000000
pr_000747282,1.000000, 0.000000
pr_001391497,1.000000, 0.000000
pr_001912454,1.000000, 0.000000
pr_002168010,1.000000, 0.000000
pr_002162627,1.000000, 0.000000
pr_002202251,1.000000, 0.000000
pr_000974344,1.000000, 0.000000
pr_002163512,1.000000, 0.000000
pr_000850993,1.000000, 0.000000
pr_000829737,1.000000, 0.000000
pr_002162143,1.000000, 0.000000
pr_002201859,1.000000, 0.000000
pr_000971823,1.000000, 0.000000
pr_002184227,1.000000, 0.000000
pr_002083570,1.000000, 0.000000
pr_001650961,1.000000, 0.000000
pr_002127880,1.000000, 0.000000
pr_002110633,1.000000, 0.000000
pr_000849321,1.000000, 0.000000
pr_000595812,1.000000, 0.000001
pr_000187211,1.000000, 0.000002
pr_000186900,1.000000, 0.000005
pr_000154062,1.000000, 0.000005
pr_000700920,1.000000, 0.000007
pr_001641378,1.000000, 0.000027
us_000492485,1.000000, 0.000060
us_000544733,1.000000, 0.000173
us_000474181,1.000000, 0.000271
pr_001737460,1.000000, 0.000390
pr_000338721,1.000000, 0.000394
pr_000344263,1.000000, 0.000795
us_000550917,1.000000, 0.004154
us_000570481,1.000000, 0.017011
us_000531679,1.000000, 0.019987
us_000502906,1.000000, 0.037730
us_000542118,1.000000, 0.045165
us_000536242,1.000000, 0.138389
us_000152553,1.000000, 0.181591
us_000500270,1.000000, 0.220309
us_000478854,1.000000, 0.265939
us_000500350,1.000000, 0.279596
us_000478007,1.000000, 0.280947
us_000498223,1.000000, 0.286544
us_000474326,1.000000, 0.405619
us_000510022,1.000000, 0.409841
us_000499151,1.000000, 0.416996
us_000499204,1.000000, 0.419145
us_000498613,1.000000, 0.432573
us_000495604,1.000000, 0.434417
us_000498100,1.000000, 0.435213
us_000515868,1.000000, 0.435213
us_000520823,1.000000, 0.435213
us_000498254,1.000000, 0.435213
us_000498604,1.000000, 0.435213
us_000498823,1.000000, 0.439273
us_000484261,1.000000, 0.440028
us_000513960,1.000000, 0.456934
us_000500614,1.000000, 0.462259
us_000484285,1.000000, 0.462675
us_000484138,1.000000, 0.483042
us_000499125,1.000000, 0.558799
us_000499118,1.000000, 0.558799
us_000501079,1.000000, 0.576733
us_000514770,1.000000, 0.589285
us_000514778,1.000000, 0.593541
us_000500609,1.000000, 0.596746
us_000509762,1.000000, 0.596746
us_000500818,1.000000, 0.597680
us_000501858,1.000000, 0.597680
us_000501528,1.000000, 0.597680
us_000501431,1.000000, 0.597680
us_000497749,1.000000, 0.597680
us_000501153,1.000000, 0.597680
us_000514678,1.000000, 0.597680
us_000501101,1.000000, 0.597680
us_000499052,1.000000, 0.597680
us_000497943,1.000000, 0.599817
us_000489322,1.000000, 0.611709
us_000474319,1.000000, 0.615059
us_000479242,1.000000, 0.615589
us_000515336,1.000000, 0.617716
us_000498938,1.000000, 0.617716
us_000499404,1.000000, 0.617716
us_000498181,1.000000, 0.617716
us_000516770,1.000000, 0.617716
us_000515305,1.000000, 0.617716
us_000521818,1.000000, 0.617716
us_000514624,1.000000, 0.617716
us_000520214,1.000000, 0.617716
us_000514057,1.000000, 0.617716
us_000515260,1.000000, 0.617716
us_000502163,1.000000, 0.618343
us_000501597,1.000000, 0.618451
us_000065693,1.000000, 0.618943
us_000498878,1.000000, 0.620696
us_000503109,1.000000, 0.620925
us_000499085,1.000000, 0.623056
us_000499136,1.000000, 0.625074
us_000482173,1.000000, 0.628584
us_000514904,1.000000, 0.632448
us_000501451,1.000000, 0.634664
us_000497089,1.000000, 0.638937
us_000499067,1.000000, 0.656151
us_000498090,1.000000, 0.660415
us_000550615,1.000000, 0.695274
us_000496409,1.000000, 0.720125
us_000467662,1.000000, 0.755784
us_000497478,1.000000, 0.756804
us_000484982,1.000000, 0.796261
us_000307465,1.000000, 0.836490
us_000496203,1.000000, 0.981434
us_000498258,1.000000, 1.114746
us_000494362,1.000000, 1.208164
us_000498660,1.000000, 1.620638
pr_001829069,0.806011, 0.000000
us_000524301,0.806011, 0.000000
us_000506499,0.806011, 0.000000
us_000496454,0.806011, 0.000000
us_000524409,0.806011, 0.000000
us_000533569,0.806011, 0.000000
us_000559462,0.806011, 0.000000
us_000506806,0.806011, 0.000000
us_000548333,0.806011, 0.000000
us_000324612,0.806011, 0.000078
us_000506774,0.806011, 0.000166
us_000528125,0.806011, 0.000601
us_000577107,0.806011, 0.000722
us_000502427,0.806011, 0.000979
us_000505240,0.806011, 0.002788
us_000607846,0.806011, 0.006844
